label	path	trial	rps	lat	rss_kb
boehm-ec1	/json	t1	39978.27	6.77ms	16632
boehm-ec4	/json	t1	74303.07	4.85ms	16680
gcry-ec1	/json	t1	31698.61	7.97ms	13108
gcry-ec4	/json	t1	13246.69	104.28ms	45628
boehm-ec1	/json	t2	39680.49	6.74ms	16696
boehm-ec4	/json	t2	72810.67	5.66ms	15784
gcry-ec1	/json	t2	32201.91	8.13ms	13056
gcry-ec4	/json	t2	20861.05	76.51ms	23244
boehm-ec1	/json	t3	39179.98	7.27ms	16756
boehm-ec4	/json	t3	65573.63	5.51ms	16688
gcry-ec1	/json	t3	29367.55	8.12ms	13236
gcry-ec4	/json	t3	16426.22	52.97ms	22140
boehm-ec1	/	t1	83067.31	6.37ms	16728
boehm-ec4	/	t1	99807.18	1.10ms	15776
gcry-ec1	/	t1	72535.70	2.02ms	13140
gcry-ec4	/	t1	30956.95	79.43ms	19880
boehm-ec1	/	t2	84235.05	6.29ms	16748
boehm-ec4	/	t2	89042.59	6.33ms	15780
gcry-ec1	/	t2	73723.24	6.75ms	13160
gcry-ec4	/	t2	35413.41	66.38ms	16100
boehm-ec1	/	t3	86876.67	6.25ms	16544
boehm-ec4	/	t3	93809.75	7.79ms	16824
gcry-ec1	/	t3	73116.96	2.00ms	12784
gcry-ec4	/	t3	33752.56	62.09ms	19924
