config	path	trial	req_s	rss_kb
boehm-ec1	/json	1	38195.76	11796
boehm-ec4	/json	1	76446.73	11796
gcry-ec1	/json	1	32272.26	11796
gcry-ec4	/json	1	29096.13	11796
boehm-ec1	/json	2	37307.97	11796
boehm-ec4	/json	2	76290.44	11796
gcry-ec1	/json	2	31233.08	11796
gcry-ec4	/json	2	8485.32	0
boehm-ec1	/json	3	40669.48	11796
boehm-ec4	/json	3	87721.86	11796
gcry-ec1	/json	3	32768.18	11796
gcry-ec4	/json	3	28084.61	11796
boehm-ec1	/	1	82610.67	11796
boehm-ec4	/	1	117752.00	11796
gcry-ec1	/	1	61883.33	11796
gcry-ec4	/	1	67770.46	11796
boehm-ec1	/	2	74540.41	11796
boehm-ec4	/	2	105771.38	11796
gcry-ec1	/	2	68138.75	11796
gcry-ec4	/	2	68102.41	11796
boehm-ec1	/	3	76890.14	11796
boehm-ec4	/	3	104111.87	11796
gcry-ec1	/	3	59431.52	11796
gcry-ec4	/	3	72631.53	11796
