config	path	trial	req_s	rss_kb	cols	coalesced	pause_p99_ms	wait_total_ms
boehm-ec1	/json	1	38997.23	16556	0	0	0	0
boehm-ec4	/json	1	64593.52	16780	0	0	0	0
gcry-ec1	/json	1	27777.22	41164	150	0	38.519158	0.052234
gcry-ec4	/json	1	36447.22	53352	180	319	104.614119	16973.930107
boehm-ec1	/json	2	37285.50	16592	0	0	0	0
boehm-ec4	/json	2	80104.27	15764	0	0	0	0
gcry-ec1	/json	2	31122.53	44880	168	0	26.062646	0.047213
gcry-ec4	/json	2	36641.05	35944	182	354	107.170961	18390.417051
boehm-ec1	/json	3	33599.06	16656	0	0	0	0
boehm-ec4	/json	3	69909.78	16760	0	0	0	0
gcry-ec1	/json	3	31886.31	49652	172	0	23.857452	0.059409
gcry-ec4	/json	3	36091.48	39400	184	328	108.043822	17131.715287
boehm-ec1	/	1	66505.98	16684	0	0	0	0
boehm-ec4	/	1	100194.35	17080	0	0	0	0
gcry-ec1	/	1	58268.79	35620	100	0	45.546297	0.029591
gcry-ec4	/	1	74977.88	29208	129	127	79.265631	6464.634376
boehm-ec1	/	2	83096.52	16692	0	0	0	0
boehm-ec4	/	2	126551.61	16704	0	0	0	0
gcry-ec1	/	2	65423.11	45492	112	0	48.199643	0.034654
gcry-ec4	/	2	61994.90	26792	107	84	91.436422	4910.519648
boehm-ec1	/	3	80132.59	16588	0	0	0	0
boehm-ec4	/	3	116713.33	16788	0	0	0	0
gcry-ec1	/	3	66152.28	16608	114	0	24.008379	0.036963
gcry-ec4	/	3	74804.47	25704	129	126	79.36103	6096.019846
