config	trial	req_s	soft	cols	chunk_bytes	chunk_count	fully_free	pause_p50_ms	sweep_ms	roots_ms	stacks_ms
c128	1	31945.49	0	58	131072	744	76939264	58.31	25.59	33.93	36.79
c256	1	46189.12	0	84	262144	448	91226112	46.49	12.56	12.83	15.83
c128	2	52320.83	0	95	131072	744	74842112	45.39	12.37	12.06	12.14
c256	2	52243.94	0	95	262144	385	69992448	46.43	13.04	13.85	13.93
c128	3	49631.54	0	90	131072	891	95944704	46.42	12.78	12.82	12.54
c256	3	53146.79	0	96	262144	375	73662464	44.42	12.5	12.29	14.97
c128	4	38257.68	0	69	131072	744	76546048	51.6	13.91	12.92	12.88
c256	4	32833.12	0	60	262144	385	70516736	56.95	14.91	15.91	19.83
c128	5	48451.71	0	87	131072	744	76546048	45.29	12.05	15.2	12.22
c256	5	48220.57	0	87	262144	375	74186752	47.0	13.2	14.0	13.59
