n	result	req_s	soft	hard	alive	note
1	OK	41278.28	0	0	1	
2	OK	41692.50	0	0	1	
3	OK	46286.87	0	0	1	
4	OK	43246.36	0	0	1	
5	OK	46079.61	0	0	1	
6	OK	44653.16	0	0	1	
7	OK	44003.74	0	0	1	
8	OK	41181.83	0	0	1	
9	OK	45932.41	0	0	1	
10	OK	47172.93	0	0	1	
11	OK	42609.99	0	0	1	
12	OK	41576.82	0	0	1	
13	OK	39520.80	0	0	1	
14	OK	40549.12	0	0	1	
15	OK	45079.91	0	0	1	
16	OK	42951.81	0	0	1	
17	OK	43235.39	0	0	1	
18	OK	43038.77	0	0	1	
19	OK	43699.04	0	0	1	
20	OK	34235.29	0	0	1	
21	OK	43504.13	0	0	1	
22	OK	44838.32	0	0	1	
23	OK	42609.79	0	0	1	
24	OK	43944.92	0	0	1	
25	OK	45250.09	0	0	1	
26	OK	46714.03	0	0	1	
27	OK	43136.57	0	0	1	
28	OK	40612.05	0	0	1	
29	OK	46042.03	0	0	1	
30	OK	45349.65	0	0	1	
31	OK	44498.96	0	0	1	
32	OK	40960.00	0	0	1	
33	OK	43840.49	0	0	1	
34	OK	42123.28	0	0	1	
35	OK	41195.33	0	0	1	
36	OK	41982.11	0	0	1	
37	OK	44041.44	0	0	1	
38	OK	44174.95	0	0	1	
39	OK	41981.49	0	0	1	
40	OK	44551.34	0	0	1	
41	OK	43703.83	0	0	1	
42	OK	42781.70	0	0	1	
43	OK	36157.87	0	0	1	
44	OK	36223.64	0	0	1	
45	OK	40329.89	0	0	1	
46	OK	39495.89	0	0	1	
47	OK	44247.07	0	0	1	
48	OK	43249.01	0	0	1	
49	OK	47206.93	0	0	1	
50	OK	46192.98	0	0	1	
51	OK	43711.52	0	0	1	
52	OK	44942.42	0	0	1	
53	OK	46937.94	0	0	1	
54	OK	46468.99	0	0	1	
55	OK	44847.53	0	0	1	
56	OK	44812.98	0	0	1	
57	OK	42324.57	0	0	1	
58	OK	46199.22	0	0	1	
59	OK	44408.26	0	0	1	
60	OK	45857.59	0	0	1	
