n	result	req_s	soft	hard	alive	note
1	OK	44372.13	0	0	1	
2	OK	43107.01	0	0	1	
3	OK	43387.13	0	0	1	
4	OK	45843.45	0	0	1	
5	OK	40667.04	0	0	1	
6	OK	42439.98	0	0	1	
7	OK	43251.40	0	0	1	
8	OK	42712.98	0	0	1	
9	OK	39752.23	0	0	1	
10	OK	38990.13	0	0	1	
11	OK	35215.06	0	0	1	
12	OK	44881.04	0	0	1	
13	OK	40641.74	0	0	1	
14	OK	41358.70	0	0	1	
15	OK	42629.03	0	0	1	
16	OK	41696.84	0	0	1	
17	OK	34726.79	0	0	1	
18	OK	36931.86	0	0	1	
19	OK	39723.54	0	0	1	
20	OK	40671.24	1	0	1	SOFT
21	OK	46155.67	0	0	1	
22	OK	42224.30	0	0	1	
23	OK	42262.69	0	0	1	
24	OK	46204.35	0	0	1	
25	OK	45722.60	1	0	1	SOFT
26	OK	44684.44	0	0	1	
27	OK	43843.30	0	0	1	
28	OK	41649.99	0	0	1	
29	OK	46951.30	0	0	1	
30	OK	45475.00	0	0	1	
31	OK	44858.80	0	0	1	
32	OK	46866.78	0	0	1	
33	OK	45773.51	0	0	1	
34	OK	46517.95	0	0	1	
35	OK	46359.32	0	0	1	
36	OK	46908.94	0	0	1	
37	OK	41589.02	1	0	1	SOFT
38	OK	42625.92	0	0	1	
39	OK	43567.33	0	0	1	
40	OK	44610.65	0	0	1	
