trial	req_s	cols	pause_p99_ms	wait_max_ms	wait_total_ms	wait_count	coalesced
1	36879.05	125	90.9	92.9	11179.3	355	230
2	33907.50	119	123.5	125.2	12605.6	353	234
3	8884.27	0	0.0	0.0	0.0	0	0
4	21761.40	0	0.0	0.0	0.0	0	0
5	36357.97	0	0.0	0.0	0.0	0	0
6	33740.46	117	105.6	107.2	9972.7	296	179
7	34975.95	111	118.2	121.1	11358.7	309	198
8	33412.73	107	154.9	157.8	10548.9	289	182
9	34533.00	118	96.3	138.2	10956.6	330	212
10	36814.13	121	97.8	145.5	12192.2	353	232
11	37745.06	132	117.7	126.0	10702.2	361	229
12	17200.13	0	0.0	0.0	0.0	0	0
