trial	req_s	cols	pause_p99_ms	pause_max_ms	avg_pause_ms	wait_max_ms	wait_total_ms	wait_count	flush_ms	stw_stop_ms	roots_ms
1	20258.33	144	409.3	409.3	135.3	277.7	10011.7	144	1.7	0.0	27.3
2	15063.53	97	405.4	500.6	156.5	358.5	6543.7	97	4.0	0.0	14.3
3	17498.74	135	465.0	520.3	153.1	306.6	10163.2	135	1.3	0.0	13.0
4	21008.21	182	480.8	480.8	127.7	390.1	12159.4	182	1.2	0.0	4.6
5	22165.69	212	286.0	286.0	110.4	211.8	11806.3	212	1.1	0.0	12.6
6	17926.05	162	496.4	496.4	146.0	297.5	12022.5	162	1.0	0.0	12.6
7	18042.89	172	364.7	364.7	135.2	267.8	11692.8	172	1.4	0.0	13.5
8	20210.35	214	262.7	301.7	119.4	238.7	13418.3	214	1.3	0.0	12.5
9	22007.07	202	270.0	426.0	114.0	271.6	11251.6	202	1.3	0.0	12.7
10	19762.66	179	398.6	398.6	129.3	291.0	11805.7	179	1.6	0.0	12.7
11	20835.65	189	424.3	424.3	125.2	290.4	11854.8	189	2.7	0.0	14.1
12	20894.56	196	256.5	319.1	118.6	235.4	11796.8	196	1.1	0.0	12.3
13	21390.96	198	276.7	281.9	118.2	204.5	11670.8	198	1.5	0.0	14.0
14	21517.74	205	325.8	325.8	112.0	266.2	11833.7	205	1.3	0.0	16.1
15	21287.55	215	294.8	294.8	118.1	207.9	13429.8	215	1.6	0.0	13.2
