trial	req_s	cols	pause_p99_ms	pause_max_ms	avg_pause_ms	wait_max_ms	wait_total_ms	wait_count	flush_ms	stw_stop_ms	stw_start_ms	roots_ms	sweep_ms
1	23604.46	208	321.8	321.8	102.9	259.2	10371.7	208	1.6	0.0	0.2	13.0	22.5
2	24123.42	162	426.1	426.1	136.1	324.7	11140.6	162	1.2	0.0	0.2	8.5	56.2
3	22509.99	157	320.9	340.1	116.8	281.3	8622.3	157	1.6	0.0	0.2	9.9	44.6
4	22648.69	183	430.7	430.7	120.4	309.9	10738.5	183	1.8	0.0	0.2	12.4	28.0
5	24170.32	198	289.5	321.9	109.2	215.0	10125.7	198	1.6	0.0	0.2	12.3	45.4
6	21471.03	159	372.3	499.1	135.3	346.3	10450.3	159	1.8	0.0	0.2	12.5	34.1
7	22012.86	192	296.1	318.5	118.7	227.8	10973.8	192	1.3	0.0	0.1	12.6	33.0
8	5603.57	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
9	25052.29	140	433.2	433.2	128.6	324.6	8846.0	140	1.9	15.3	0.2	20.8	35.7
10	11379.38	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
11	24106.14	198	291.0	291.0	110.1	215.5	10281.3	198	4.4	0.0	0.2	12.8	35.1
12	21510.36	176	393.4	393.4	127.2	301.4	10717.0	176	1.1	0.0	0.2	14.1	36.2
13	1529.11	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
14	22028.19	169	316.4	316.4	121.4	242.2	9377.5	169	1.4	0.0	0.2	8.5	64.6
15	24864.46	178	309.9	309.9	118.8	234.1	10085.8	178	1.5	0.0	0.2	12.3	32.5
