n	result	req_s	soft	hard	alive	note
1	OK	42342.27	0	0	1	
2	OK	40603.89	0	0	1	
3	OK	42923.95	0	0	1	
4	OK	44373.88	0	0	1	
5	OK	43553.21	0	0	1	
6	OK	38740.51	0	0	1	
7	OK	42670.45	1	0	1	SOFT
8	OK	43277.17	0	0	1	
9	OK	42239.53	0	0	1	
10	OK	43971.67	0	0	1	
11	OK	45403.43	0	0	1	
12	OK	44346.51	0	0	1	
13	OK	39621.66	0	0	1	
14	OK	39839.41	0	0	1	
15	OK	42830.83	0	0	1	
16	OK	42470.92	0	0	1	
17	OK	42331.57	0	0	1	
18	OK	40875.34	0	0	1	
19	OK	44066.09	0	0	1	
20	OK	42675.02	0	0	1	
21	OK	42487.54	0	0	1	
22	OK	42562.86	0	0	1	
23	OK	41914.17	0	0	1	
24	OK	43222.27	0	0	1	
25	OK	45627.48	0	0	1	
26	OK	38631.93	0	0	1	
27	OK	40165.01	0	0	1	
28	OK	40745.35	0	0	1	
29	OK	41314.97	0	0	1	
30	OK	33138.49	0	0	1	
31	OK	23987.74	0	0	1	
32	OK	37438.28	0	0	1	
33	OK	43435.97	0	0	1	
34	OK	43319.01	0	0	1	
35	OK	45625.67	0	0	1	
36	OK	42892.81	0	0	1	
37	OK	45532.25	0	0	1	
38	OK	43847.88	0	0	1	
39	OK	42561.41	0	0	1	
40	OK	43366.32	0	0	1	
41	OK	44391.64	0	0	1	
42	OK	42778.44	0	0	1	
43	OK	40503.96	0	0	1	
44	OK	40750.59	0	0	1	
45	OK	45102.84	0	0	1	
46	OK	46142.28	0	0	1	
47	OK	43877.91	0	0	1	
48	OK	45163.40	0	0	1	
49	OK	46662.20	0	0	1	
50	OK	43403.83	0	0	1	
51	OK	44940.89	0	0	1	
52	OK	41146.90	0	0	1	
53	OK	41542.60	0	0	1	
54	OK	45743.59	0	0	1	
55	OK	46222.86	0	0	1	
56	OK	46442.99	1	0	1	SOFT
57	OK	44910.26	0	0	1	
58	OK	45278.04	0	0	1	
59	OK	44083.55	0	0	1	
60	OK	44224.66	0	0	1	
