n	result	req_s	soft	hard	alive	note
1	OK	38098.58	0	0	1	
2	OK	40403.08	0	0	1	
3	OK	42085.73	0	0	1	
4	OK	50683.76	0	0	1	
5	OK	43843.87	0	0	1	
6	OK	44982.67	0	0	1	
7	OK	46017.88	0	0	1	
8	OK	46448.31	0	0	1	
9	OK	43267.33	0	0	1	
10	OK	45383.70	0	0	1	
11	OK	44283.90	0	0	1	
12	OK	44438.98	0	0	1	
13	OK	51628.38	0	0	1	
14	OK	50484.29	0	0	1	
15	OK	48048.18	0	0	1	
16	OK	53274.02	0	0	1	
17	OK	52200.76	0	0	1	
18	OK	45730.90	0	0	1	
19	OK	38729.50	0	0	1	
20	OK	46027.11	0	0	1	
21	OK	45081.19	0	0	1	
22	OK	42704.50	0	0	1	
23	OK	43473.03	0	0	1	
24	OK	50578.69	0	0	1	
25	OK	51435.65	0	0	1	
26	OK	49509.60	0	0	1	
27	OK	44976.38	0	0	1	
28	OK	45014.53	0	0	1	
29	OK	45518.94	0	0	1	
30	OK	39282.03	0	0	1	
31	OK	31638.40	0	0	1	
32	OK	41011.87	0	0	1	
33	OK	47864.81	0	0	1	
34	OK	47520.58	0	0	1	
35	OK	49083.96	0	0	1	
36	OK	49442.88	0	0	1	
37	OK	46655.82	0	0	1	
38	OK	50763.94	0	0	1	
39	OK	46147.85	0	0	1	
40	OK	49834.71	0	0	1	
41	OK	49089.52	0	0	1	
42	OK	45388.41	0	0	1	
43	OK	45674.54	0	0	1	
44	OK	48121.14	0	0	1	
45	OK	46687.03	0	0	1	
46	OK	45913.66	0	0	1	
47	OK	45874.67	0	0	1	
48	OK	48416.61	0	0	1	
49	OK	44485.46	0	0	1	
50	OK	42464.90	0	0	1	
51	OK	48396.32	0	0	1	
52	OK	42107.00	0	0	1	
53	OK	51124.67	0	0	1	
54	OK	49406.33	0	0	1	
55	OK	46146.30	0	0	1	
56	OK	42755.42	0	0	1	
57	OK	46108.05	0	0	1	
58	OK	40259.20	0	0	1	
59	OK	42658.30	0	0	1	
60	OK	33043.58	0	0	1	
61	OK	33449.87	0	0	1	
62	OK	48505.60	0	0	1	
63	OK	49059.15	0	0	1	
64	OK	46408.71	0	0	1	
65	OK	38587.95	0	0	1	
66	OK	44403.87	0	0	1	
67	OK	48010.11	0	0	1	
68	OK	47686.35	0	0	1	
69	OK	47538.74	0	0	1	
70	OK	44211.01	0	0	1	
71	OK	45854.62	0	0	1	
72	OK	40989.89	0	0	1	
73	OK	52310.96	0	0	1	
74	OK	52251.17	0	0	1	
75	OK	51160.84	0	0	1	
76	OK	43343.65	0	0	1	
77	OK	51727.19	0	0	1	
78	OK	51518.94	0	0	1	
79	OK	51588.68	0	0	1	
80	OK	47161.04	0	0	1	
81	OK	46332.46	0	0	1	
82	OK	51540.44	0	0	1	
83	OK	41938.96	0	0	1	
84	OK	43767.75	0	0	1	
85	OK	47645.10	0	0	1	
86	OK	44758.63	0	0	1	
87	OK	48758.50	0	0	1	
88	OK	40548.79	0	0	1	
89	OK	52870.04	0	0	1	
90	OK	47300.96	0	0	1	
91	OK	45794.00	0	0	1	
92	OK	43229.26	0	0	1	
93	OK	48744.31	0	0	1	
94	OK	50350.56	0	0	1	
95	OK	48949.50	0	0	1	
96	OK	43166.48	0	0	1	
97	OK	47126.97	0	0	1	
98	OK	51006.40	0	0	1	
99	OK	53045.86	0	0	1	
100	OK	47829.10	0	0	1	
