n	result	req_s	note
1	OK	33936.89	
2	OK	36796.20	
3	OK	31365.60	
4	OK	31248.20	
5	OK	29249.04	
6	FAIL	6279.16	SEGV
7	OK	33842.35	
8	OK	35319.07	
9	OK	38617.70	
10	FAIL	21718.02	MARK_MISS
11	OK	36586.02	
12	OK	35526.81	
13	OK	37163.11	
14	OK	34303.54	
15	OK	28235.57	
16	OK	35407.03	
17	OK	35072.68	
18	OK	36938.89	
19	OK	35937.04	
20	OK	32890.74	
21	OK	33771.28	
22	OK	27923.64	
23	OK	36104.75	
24	OK	38240.04	
25	OK	39287.45	
26	OK	34884.90	
27	OK	32926.79	
28	OK	34115.67	
29	OK	34007.54	
30	OK	34842.82	
31	OK	35273.37	
32	OK	34944.98	
33	OK	34179.19	
34	OK	26831.69	
35	OK	30509.04	
36	OK	33828.47	
37	OK	31496.23	
38	OK	34001.21	
39	OK	33559.96	
40	OK	33808.24	
41	OK	37811.11	
42	OK	39856.40	
43	OK	36411.20	
44	OK	33651.56	
45	OK	37738.33	
46	OK	39270.94	
47	OK	36629.13	
48	FAIL	10175.44	MARK_MISS
49	OK	31580.18	
50	OK	37774.35	
51	OK	35247.25	
52	OK	27920.12	
53	OK	34579.79	
54	OK	35309.02	
55	OK	36759.66	
56	OK	32588.55	
57	OK	28150.22	
58	OK	32301.05	
59	OK	36856.50	
60	OK	36614.28	
61	OK	37827.00	
62	OK	36712.06	
63	OK	36918.48	
64	OK	36558.63	
65	OK	37588.98	
66	OK	35277.40	
67	OK	35913.30	
68	OK	36392.01	
69	OK	37523.40	
70	OK	37147.10	
71	OK	37634.78	
72	OK	37008.94	
73	OK	38247.12	
74	FAIL	22097.92	SEGV
75	OK	37753.32	
76	OK	38167.36	
77	OK	37096.25	
78	OK	38527.32	
79	OK	36079.32	
80	OK	37728.57	
81	OK	36244.79	
82	OK	37586.56	
83	OK	37772.32	
84	OK	37479.25	
85	OK	36572.91	
86	OK	35922.91	
87	OK	38272.79	
88	OK	41650.31	
89	OK	34036.95	
90	OK	40017.95	
91	OK	39335.50	
92	OK	40056.80	
93	OK	40601.40	
94	OK	40203.09	
95	OK	40937.65	
96	OK	40843.87	
97	OK	42526.82	
98	OK	40543.80	
99	OK	38561.36	
100	OK	41290.47	
