config	path	trial	req_s	rss_kb	cols	coalesced	pause_p99_ms	wait_total_ms	threshold
boehm-ec1	/json	1	58587.50	16768	0	0	0	0	
boehm-ec4	/json	1	68502.28	16748	0	0	0	0	
gcry-ec1	/json	1	50644.37	133896	135	259	122.934	0.208	
gcry-ec4	/json	1	46784.63	136432	123	231	61.213	45.247	
boehm-ec1	/json	2	76167.36	16792	0	0	0	0	
boehm-ec4	/json	2	77997.25	16692	0	0	0	0	
gcry-ec1	/json	2	51862.54	156568	138	267	53.837	0.216	
gcry-ec4	/json	2	53502.72	110048	145	282	98.981	39.285	
boehm-ec1	/json	3	86680.91	16616	0	0	0	0	
boehm-ec4	/json	3	86688.03	16784	0	0	0	0	
gcry-ec1	/json	3	53339.74	116928	142	278	47.359	0.222	
gcry-ec4	/json	3	53199.61	130292	144	259	48.745	0.217	
boehm-ec1	/	1	134627.08	16704	0	0	0	0	
boehm-ec4	/	1	130971.38	16644	0	0	0	0	
gcry-ec1	/	1	100107.30	109300	87	124	60.764	44.031	
gcry-ec4	/	1	83471.74	98316	73	73	96.913	0.075	
boehm-ec1	/	2	128584.21	16592	0	0	0	0	
boehm-ec4	/	2	111591.19	16752	0	0	0	0	
gcry-ec1	/	2	89665.82	153144	78	87	86.294	0.092	
gcry-ec4	/	2	96653.32	98580	84	115	50.573	0.128	
boehm-ec1	/	3	123678.09	16692	0	0	0	0	
boehm-ec4	/	3	111551.12	16640	0	0	0	0	
gcry-ec1	/	3	73635.10	98428	64	56	126.388	0.077	
gcry-ec4	/	3	70632.43	136548	61	57	102.108	0.080	
