n	result	req_s	soft	skips	sweep_ms
1	OK	63525.14	0	4763	12.393
2	OK	59229.38	0	84	10.922
3	OK	60133.46	0	84	12.853
4	OK	68125.24	0	201	12.448
5	OK	63780.23	0	90	11.401
6	OK	65635.84	0	92	11.626
7	OK	68111.91	0	96	11.941
8	OK	67467.19	0	94	10.969
9	OK	68338.06	0	96	16.323
10	OK	63413.11	0	90	11.338
11	OK	65568.43	0	92	12.903
12	OK	62597.91	0	88	11.701
13	OK	54067.08	0	76	12.258
14	OK	60409.31	0	84	11.834
15	OK	58263.98	0	82	17.691
16	OK	53054.09	0	74	11.922
17	OK	61285.07	0	86	11.304
18	OK	68264.01	0	8815	11.84
19	OK	68179.17	0	96	12.341
20	OK	67155.66	0	2323	11.678
21	OK	69737.39	0	98	11.581
22	OK	67574.26	0	96	13.347
23	OK	62664.93	0	88	11.664
24	OK	71014.90	0	100	11.889
25	OK	66243.38	0	94	13.847
26	OK	67045.97	0	96	11.313
27	OK	58566.75	0	82	11.737
28	OK	60728.63	0	465	11.878
29	OK	61687.98	0	86	12.327
30	OK	51526.51	0	72	14.722
31	OK	60693.08	0	86	11.596
32	OK	65528.40	0	94	12.495
33	OK	61549.19	0	88	12.427
34	OK	62717.12	0	567	14.337
35	OK	57014.24	0	80	13.132
36	OK	49042.35	0	68	11.364
37	OK	64167.56	0	56	11.524
38	OK	60058.44	0	84	13.331
39	OK	60653.42	0	86	14.091
40	OK	60461.66	0	4111	11.816
