n	result	req_s	soft	hard	alive	pause_ms	sweep_ms	skips	rss_kib
1	OK	45671.54	0	0	1	9.515	20.135	0	59708
2	OK	56053.13	0	0	1	8.543	18.468	0	64964
3	OK	53611.48	0	0	1	8.818	17.766	0	81656
4	OK	57298.77	0	0	1	8.681	20.177	0	60876
5	OK	49695.65	0	0	1	9.115	17.363	0	59516
6	OK	58121.72	0	0	1	8.596	23.603	0	59832
7	OK	54811.45	0	0	1	8.574	20.833	0	71200
8	OK	47648.59	0	0	1	9.394	29.875	0	69184
9	OK	50919.54	0	0	1	8.977	18.257	0	88144
10	OK	56809.04	0	0	1	9.057	16.783	0	60360
11	OK	59118.67	0	0	1	8.659	18.317	0	77988
12	OK	53660.06	0	0	1	8.922	16.22	0	82072
13	OK	55238.74	0	0	1	9.148	19.722	0	91412
14	OK	56872.01	0	0	1	8.997	27.241	0	59724
15	OK	56878.06	0	0	1	8.738	20.858	0	59796
16	OK	55253.00	0	0	1	8.638	18.042	0	91372
17	OK	60391.22	0	0	1	8.846	19.135	0	72424
18	OK	55610.33	0	0	1	8.719	14.86	0	59648
19	OK	53079.69	0	0	1	8.978	17.826	0	60004
20	OK	50575.05	0	0	1	8.984	17.517	0	69564
21	OK	55230.67	0	0	1	8.812	18.642	0	91224
22	OK	57044.00	0	0	1	8.604	22.54	0	59844
23	OK	53808.55	0	0	1	10.509	19.352	9	65756
24	OK	60782.84	0	0	1	8.721	18.706	0	92048
25	OK	56597.91	0	0	1	8.505	20.498	0	91764
26	OK	54242.68	0	0	1	8.856	22.9	0	59988
27	OK	57550.83	0	0	1	8.579	18.471	3	69244
28	OK	60661.48	0	0	1	8.68	18.966	0	85048
29	OK	55319.95	0	0	1	8.565	24.286	0	59764
30	OK	50171.28	0	0	1	8.558	19.784	0	60248
31	OK	51199.67	0	0	1	8.816	19.7	6	60872
32	OK	54409.34	0	0	1	8.803	29.367	0	59884
33	OK	57350.33	0	0	1	8.663	20.189	0	61772
34	OK	54129.56	0	0	1	8.658	19.49	0	59684
35	OK	59096.31	0	0	1	8.766	19.069	0	76420
36	OK	53891.88	0	0	1	9.236	19.879	0	60108
37	OK	52188.48	0	0	1	9.068	23.153	0	82040
38	OK	51974.79	0	0	1	8.821	16.867	0	68028
39	OK	62134.80	0	0	1	8.36	21.384	0	91012
40	OK	59071.22	0	0	1	8.74	18.864	0	76888
