n	result	req_s	soft	hard	alive	pause_p50_ms	sweep_ms	note
1	OK	42997.56	00	00	1	9.947	15.319	
2	OK	46428.02	00	00	1	9.592	16.85	
3	OK	68261.44	00	00	1	8.432	15.658	
4	OK	60354.24	00	00	1	8.559	14.934	
5	OK	69121.18	00	00	1	8.371	10.749	
6	OK	67515.60	00	00	1	8.289	17.194	
7	OK	63190.53	00	00	1	8.478	15.864	
8	OK	69641.75	00	00	1	8.469	11.705	
9	OK	70970.50	00	00	1	8.108	15.535	
10	OK	65390.35	00	00	1	8.394	11.206	
11	OK	65102.23	00	00	1	8.424	16.153	
12	OK	67729.43	00	00	1	8.357	15.379	
13	OK	61535.32	00	00	1	8.666	16.142	
14	OK	69738.12	00	00	1	8.218	16.428	
15	OK	69981.71	00	00	1	8.5	15.474	
16	OK	72357.31	00	00	1	8.252	17.565	
17	OK	64314.37	00	00	1	8.305	15.612	
18	OK	64261.31	00	00	1	8.635	17.888	
19	OK	66365.80	00	00	1	8.514	16.289	
20	OK	71019.45	00	00	1	8.172	16.252	
21	OK	71396.22	00	00	1	8.172	15.893	
22	OK	66575.96	00	00	1	8.486	16.831	
23	OK	65081.19	00	00	1	8.391	15.615	
24	OK	66900.74	00	00	1	8.297	12.267	
25	OK	62844.31	00	00	1	8.682	15.079	
26	OK	69245.22	00	00	1	8.206	10.544	
27	OK	69667.79	00	00	1	8.177	15.875	
28	OK	72842.23	00	00	1	8.193	14.88	
29	OK	74268.07	00	00	1	8.186	14.922	
30	OK	68326.89	00	00	1	8.493	15.991	
31	OK	71870.28	00	00	1	8.318	15.32	
32	OK	68527.15	00	00	1	8.347	16.326	
33	OK	74032.96	00	00	1	8.091	15.334	
34	OK	69680.78	00	00	1	8.461	16.007	
35	OK	69838.31	00	00	1	8.514	15.294	
36	OK	69615.94	00	00	1	8.509	15.391	
37	OK	67939.64	00	00	1	8.142	15.663	
38	OK	70193.96	00	00	1	8.359	14.951	
39	OK	63710.91	00	00	1	8.443	12.302	
40	OK	72260.47	00	00	1	8.208	15.016	
