n	result	req_s	soft	hard	alive	note
1	OK	67703.73	0	0	1	
2	OK	63765.90	0	0	1	
3	OK	68892.95	0	0	1	
4	OK	67066.63	0	0	1	
5	OK	63388.24	0	0	1	
6	OK	68522.46	0	0	1	
7	OK	69098.66	0	0	1	
8	OK	63947.16	0	0	1	
9	OK	63661.97	0	0	1	
10	OK	67423.43	0	0	1	
11	OK	65720.76	0	0	1	
12	OK	68539.63	0	0	1	
13	OK	66445.35	0	0	1	
14	OK	66315.11	0	0	1	
15	OK	67706.52	0	0	1	
16	OK	62643.80	0	0	1	
17	OK	64942.62	0	0	1	
18	OK	69107.63	0	0	1	
19	OK	64587.12	0	0	1	
20	OK	68625.87	0	0	1	
21	OK	67295.41	0	0	1	
22	OK	64498.32	0	0	1	
23	OK	66902.13	0	0	1	
24	OK	65389.07	0	0	1	
25	OK	63421.88	0	0	1	
26	OK	67940.89	0	0	1	
27	OK	64442.21	0	0	1	
28	OK	65444.79	0	0	1	
29	OK	56421.10	0	0	1	
30	OK	73045.14	0	0	1	
31	OK	74641.94	0	0	1	
32	OK	71193.54	0	0	1	
33	OK	69107.52	0	0	1	
34	OK	69308.73	0	0	1	
35	OK	72971.09	0	0	1	
36	OK	76685.08	0	0	1	
37	OK	74649.31	0	0	1	
38	OK	71877.01	0	0	1	
39	OK	72134.37	0	0	1	
40	OK	71500.47	0	0	1	
