n	result	req_s	soft	hard	alive	pause_p50_ms	sweep_ms	note
1	OK	55361.09	0	0	1	8.961	24.496	
2	OK	56062.76	0	0	1	8.702	23.659	
3	OK	56185.34	0	0	1	8.652	23.355	
4	OK	56142.01	0	0	1	8.657	23.695	
5	OK	57363.80	0	0	1	8.711	23.266	
6	OK	53691.62	0	0	1	8.712	28.744	
7	OK	54585.30	0	0	1	8.62	21.777	
8	OK	55037.24	0	0	1	8.817	24.413	
9	OK	56636.36	0	0	1	8.678	18.797	
10	OK	57238.30	0	0	1	8.805	19.3	
11	OK	54701.59	0	0	1	8.948	37.464	
12	OK	54199.11	0	0	1	8.723	17.367	
13	OK	54460.52	0	0	1	8.848	22.506	
14	OK	54134.91	0	0	1	8.87	23.55	
15	OK	53930.56	0	0	1	8.993	24.054	
16	OK	57353.57	0	0	1	8.755	24.513	
17	OK	59397.06	0	0	1	8.672	26.742	
18	OK	56396.81	0	0	1	9.037	25.158	
19	OK	55351.83	0	0	1	8.691	25.18	
20	OK	52597.78	0	0	1	8.639	26.031	
21	OK	58549.79	0	0	1	8.81	22.859	
22	OK	60777.07	0	0	1	8.625	23.717	
23	OK	58032.39	0	0	1	8.648	27.478	
24	OK	57448.59	0	0	1	8.646	26.724	
25	OK	51001.83	0	0	1	8.878	27.232	
26	OK	55963.42	0	0	1	8.785	21.735	
27	OK	61307.86	0	0	1	8.575	24.819	
28	OK	59194.27	0	0	1	8.671	20.212	
29	OK	53806.59	0	0	1	8.489	20.621	
30	OK	62862.75	0	0	1	8.77	22.844	
31	OK	57435.46	0	0	1	8.841	25.537	
32	OK	58011.01	0	0	1	8.52	23.643	
33	OK	58487.64	0	0	1	8.868	24.502	
34	OK	52780.89	0	0	1	8.855	26.258	
35	OK	56879.26	0	0	1	8.666	23.438	
36	OK	55040.40	0	0	1	8.631	25.374	
37	OK	54570.32	0	0	1	8.693	52.68	
38	OK	58115.80	0	0	1	8.731	26.596	
39	OK	57021.65	0	0	1	8.439	24.054	
40	OK	53892.34	0	0	1	8.779	23.141	
