n	result	req_s	soft	hard	alive	note
1	OK	44761.62	0	0	1	
2	OK	45527.25	0	0	1	
3	OK	45531.81	0	0	1	
4	OK	44434.95	0	0	1	
5	OK	47500.96	0	0	1	
6	OK	45363.85	0	0	1	
7	OK	50583.89	0	0	1	
8	OK	40596.98	0	0	1	
9	OK	47377.09	0	0	1	
10	OK	43939.80	0	0	1	
11	OK	41018.85	0	0	1	
12	OK	41426.94	0	0	1	
13	OK	38714.05	0	0	1	
14	OK	35446.07	0	0	1	
15	OK	38341.34	0	0	1	
16	OK	34049.99	0	0	1	
17	OK	39968.46	0	0	1	
18	OK	39103.32	0	0	1	
19	OK	40962.10	0	0	1	
20	OK	46547.35	0	0	1	
21	OK	44461.89	0	0	1	
22	OK	42661.12	0	0	1	
23	OK	41147.02	0	0	1	
24	OK	46197.92	0	0	1	
25	OK	40137.50	0	0	1	
26	OK	40817.30	0	0	1	
27	OK	42317.78	0	0	1	
28	OK	37683.84	0	0	1	
29	OK	38470.15	0	0	1	
30	OK	39936.45	0	0	1	
31	OK	45425.99	0	0	1	
32	OK	47657.36	0	0	1	
33	OK	38875.81	0	0	1	
34	OK	41531.07	0	0	1	
35	OK	45451.67	0	0	1	
36	OK	38079.69	0	0	1	
37	OK	47011.66	0	0	1	
38	OK	38391.99	0	0	1	
39	OK	41780.02	0	0	1	
40	OK	46418.20	0	0	1	
