n	result	req_s	soft	hard	alive	note
1	OK	63520.80	0	0	1	
2	OK	64209.00	0	0	1	
3	OK	63685.30	0	0	1	
4	OK	58059.33	0	0	1	
5	OK	51069.93	0	0	1	
6	OK	41642.52	0	0	1	
7	OK	50214.80	0	0	1	
8	OK	57840.99	0	0	1	
9	OK	43435.54	0	0	1	
10	OK	58309.39	0	0	1	
11	OK	62848.93	0	0	1	
12	OK	53049.02	0	0	1	
13	OK	46063.29	0	0	1	
14	OK	51320.77	0	0	1	
15	OK	51191.22	0	0	1	
16	OK	60518.81	0	0	1	
17	OK	61281.06	0	0	1	
18	OK	63462.98	0	0	1	
19	OK	66504.64	0	0	1	
20	OK	64000.80	0	0	1	
21	OK	64939.04	0	0	1	
22	OK	61344.92	0	0	1	
23	OK	62344.58	0	0	1	
24	OK	67788.23	0	0	1	
25	OK	65519.91	0	0	1	
26	OK	63822.97	0	0	1	
27	OK	63544.97	0	0	1	
28	OK	62229.94	0	0	1	
29	OK	67439.59	0	0	1	
30	OK	66291.75	0	0	1	
31	OK	62001.30	0	0	1	
32	OK	63455.15	0	0	1	
33	OK	60934.06	0	0	1	
34	OK	64889.19	0	0	1	
35	OK	65837.52	0	0	1	
36	OK	64423.83	0	0	1	
37	OK	64954.82	0	0	1	
38	OK	60647.28	0	0	1	
39	OK	62924.62	0	0	1	
40	OK	66258.30	0	0	1	
