cfg	trial	req_s	rss_kib	dormant	fully_free	soft
gate	1	63818.22	91660	0	79953920	0
gate	2	66972.31	109660	0	98172928	0
gate	3	67174.69	127200	0	116391936	0
bound-16m	1	56844.43	61432	16777216	79953920	0
bound-16m	2	45391.47	60224	16777216	79953920	0
bound-16m	3	45853.21	62956	16777216	83755008	0
bound-32m	1	62713.20	28200	33554432	80216064	0
bound-32m	2	62740.09	28232	33554432	79953920	0
bound-32m	3	56276.55	37440	33554432	79953920	0
bound-64m	1	49193.20	26984	67108864	79691776	0
bound-64m	2	49407.82	22104	67108864	79822848	0
bound-64m	3	57024.92	22508	67108864	80084992	0
bound-128m	1	58377.82	15548	80216064	80216064	0
bound-128m	2	55951.43	15908	79953920	79953920	0
bound-128m	3	56916.96	16196	79953920	79953920	0
dormant-all	1	55225.20	16088	85327872	85327872	0
dormant-all	2	58636.66	15656	80216064	80216064	0
dormant-all	3	61583.52	15884	79822848	79822848	0
