n	result	req_s	rss_kib	soft	hard	alive
1	OK	63076.10	40364	0	0	1
2	OK	63165.64	28108	0	0	1
3	OK	57647.89	50348	0	0	1
4	OK	60921.28	28316	0	0	1
5	OK	63647.28	28220	0	0	1
6	OK	64925.20	28088	0	0	1
7	OK	62556.87	28176	0	0	1
8	OK	61872.79	50708	0	0	1
9	OK	63195.05	46900	0	0	1
10	OK	63425.35	56744	0	0	1
11	OK	63471.31	28288	0	0	1
12	OK	62624.23	27744	0	0	1
13	OK	63832.85	28156	0	0	1
14	OK	59897.47	28032	0	0	1
15	OK	60333.13	42512	0	0	1
16	OK	63495.05	28252	0	0	1
17	OK	61981.32	59212	0	0	1
18	OK	61982.66	41432	0	0	1
19	OK	59846.09	28564	0	0	1
20	OK	64330.85	32004	0	0	1
21	OK	63398.15	55732	0	0	1
22	OK	64161.19	59396	0	0	1
23	OK	62149.66	28092	0	0	1
24	OK	61870.38	58184	0	0	1
25	OK	63797.28	41216	0	0	1
26	OK	64050.98	53136	0	0	1
27	OK	64418.58	39676	0	0	1
28	OK	64211.09	30720	0	0	1
29	OK	60035.58	31828	0	0	1
30	OK	63042.61	28484	0	0	1
31	OK	61668.62	39112	0	0	1
32	OK	61131.64	28456	0	0	1
33	OK	64490.51	42728	0	0	1
34	OK	63486.11	28192	0	0	1
35	OK	62286.40	28100	0	0	1
36	OK	63559.65	29548	0	0	1
37	OK	62922.36	35072	0	0	1
38	OK	51014.76	27448	0	0	1
39	OK	61041.18	28200	0	0	1
40	OK	65252.96	28220	0	0	1
