cfg	trial	req_s	soft	roots_ms	sweep_ms	pause_p50_ms
lag256	1	69306.53	0	8.293	12.251	20.383
lag256	2	70833.66	0	7.09	12.909	20.642
lag256	3	72701.29	0	7.155	10.444	19.0
lag128	1	68966.78	0	4.582	12.136	17.954
lag128	2	59504.96	0	6.102	18.291	18.405
lag128	3	68123.04	0	4.317	10.833	16.861
lag64	1	61035.97	0	3.184	12.881	16.717
lag64	2	69016.64	0	6.138	10.976	15.663
lag64	3	58288.99	0	4.654	11.806	17.057
lag128+plag128	1	67937.83	0	4.451	11.847	16.651
lag128+plag128	2	74171.05	0	4.921	13.332	16.829
lag128+plag128	3	70639.76	0	4.479	10.862	16.614
