n	result	req_s	soft	hard	alive	note
1	OK	55049.85	0	0	1	
2	OK	56990.53	0	0	1	
3	OK	51712.13	0	0	1	
4	OK	56615.97	0	0	1	
5	OK	58985.80	0	0	1	
6	OK	59807.81	0	0	1	
7	OK	54699.49	0	0	1	
8	OK	61135.60	0	0	1	
9	OK	53695.15	0	0	1	
10	OK	57937.66	0	0	1	
11	OK	59252.84	0	0	1	
12	OK	59638.37	0	0	1	
13	OK	54517.40	0	0	1	
14	OK	47250.52	0	0	1	
15	OK	51769.95	0	0	1	
16	OK	59264.64	0	0	1	
17	OK	43691.72	0	0	1	
18	OK	49961.94	0	0	1	
19	OK	53910.89	0	0	1	
20	OK	54833.47	0	0	1	
21	OK	56681.61	0	0	1	
22	OK	52867.08	0	0	1	
23	OK	56185.20	0	0	1	
24	OK	51240.44	0	0	1	
25	OK	38975.21	0	0	1	
26	OK	55607.79	0	0	1	
27	OK	61189.68	0	0	1	
28	OK	58870.26	0	0	1	
29	OK	48310.89	0	0	1	
30	OK	45267.63	0	0	1	
31	OK	50829.78	0	0	1	
32	OK	44796.10	0	0	1	
33	OK	41548.63	0	0	1	
34	OK	45794.39	0	0	1	
35	OK	53071.83	0	0	1	
36	OK	48261.84	0	0	1	
37	OK	42147.68	0	0	1	
38	OK	49134.11	0	0	1	
39	OK	54151.17	0	0	1	
40	OK	51900.64	0	0	1	
