n	result	req_s	soft	hard	alive	pause_p50_ms	sweep_ms	on_demand	note
1	OK	52837.51	0	0	1	8.779	0.0	166	
2	OK	55936.31	0	0	1	8.86	0.0	299	
3	OK	53758.77	0	0	1	9.257	0.0	569	
4	OK	53951.44	0	0	1	8.747	0.0	31	
5	OK	52827.35	0	0	1	9.14	0.0	161	
6	OK	52807.70	0	0	1	9.237	0.0	426	
7	OK	51136.87	0	0	1	9.214	0.0	20	
8	OK	53762.60	0	0	1	8.638	0.0	150	
9	OK	54165.89	0	0	1	8.58	0.0	127	
10	OK	56307.06	0	0	1	8.456	0.0	465	
11	OK	52079.22	0	0	1	8.831	0.0	437	
12	OK	51071.32	0	0	1	8.951	0.0	264	
13	OK	50352.29	0	0	1	9.195	0.0	305	
14	OK	56836.70	0	0	1	8.732	0.0	98	
15	OK	55562.80	0	0	1	8.759	0.0	132	
16	OK	53527.74	0	0	1	8.876	0.0	469	
17	OK	52977.84	0	0	1	8.687	0.0	225	
18	OK	50377.94	0	0	1	8.96	0.0	385	
19	OK	53649.89	0	0	1	8.846	0.0	532	
20	OK	54116.64	0	0	1	8.841	0.0	399	
21	OK	52361.05	0	0	1	8.763	0.0	566	
22	OK	52093.19	0	0	1	8.959	0.0	459	
23	OK	48466.16	0	0	1	9.381	0.0	92	
24	OK	52131.16	0	0	1	9.187	0.0	462	
25	OK	51218.47	0	0	1	9.045	0.0	57	
26	OK	54074.15	0	0	1	8.879	0.0	97	
27	OK	53578.21	0	0	1	8.857	0.0	473	
28	OK	53162.15	0	0	1	9.036	0.0	590	
29	OK	53117.95	0	0	1	9.006	0.0	279	
30	OK	45450.95	0	0	1	9.842	0.0	8	
31	OK	51001.62	0	0	1	8.935	0.0	1	
32	OK	50215.48	0	0	1	8.621	0.0	242	
33	OK	43852.40	0	0	1	10.294	0.0	509	
34	OK	43425.95	0	0	1	9.455	0.0	331	
35	OK	54156.33	0	0	1	8.899	0.0	128	
36	OK	52195.93	0	0	1	8.949	0.0	490	
37	OK	57030.35	0	0	1	8.659	0.0	177	
38	OK	55725.16	0	0	1	8.68	0.0	207	
39	OK	52637.61	0	0	1	8.655	0.0	70	
40	OK	53223.76	0	0	1	8.737	0.0	342	
