n	result	req_s	soft	hard	alive	pause_p50_ms	sweep_ms	on_demand	note
1	OK	50339.50	0	0	1	8.74	2.02	327	
2	OK	52991.74	0	0	1	9.08	0.52	207	
3	OK	51329.80	0	0	1	9.375	1.28	81	
4	OK	47644.29	0	0	1	9.008	1.151	326	
5	OK	52680.78	0	0	1	8.797	1.347	70	
6	OK	51837.30	0	0	1	8.776	1.018	311	
7	OK	49425.79	0	0	1	8.908	2.367	509	
8	OK	52188.64	0	0	1	9.014	0.552	472	
9	OK	50640.83	0	0	1	9.066	0.839	417	
10	OK	42726.53	0	0	1	9.677	1.285	14	
11	OK	37658.73	0	0	1	9.185	1.404	266	
12	OK	40453.23	0	0	1	10.001	1.351	300	
13	OK	46718.60	0	0	1	9.047	1.2	592	
14	OK	46296.61	0	0	1	9.713	2.43	321	
15	OK	43530.26	0	0	1	9.609	0.829	348	
16	OK	41714.01	0	0	1	10.238	0.984	137	
17	OK	54325.30	0	0	1	8.503	0.962	184	
18	OK	52581.71	0	0	1	8.612	1.085	30	
19	OK	43395.08	0	0	1	10.808	2.012	272	
20	OK	45639.69	0	0	1	9.272	1.113	40	
21	OK	49068.38	0	0	1	8.839	0.696	580	
22	OK	46461.10	0	0	1	9.175	1.229	392	
23	OK	41791.27	0	0	1	9.364	1.468	242	
24	OK	48761.65	0	0	1	8.835	1.224	180	
25	OK	36914.72	0	0	1	9.53	1.429	521	
26	OK	43291.32	0	0	1	9.442	0.681	226	
27	OK	44015.19	0	0	1	9.035	2.327	576	
28	OK	50698.51	0	0	1	9.134	1.657	425	
29	OK	53977.10	0	0	1	8.984	1.072	26	
30	OK	51353.90	0	0	1	8.701	1.002	96	
31	OK	49155.12	0	0	1	9.019	0.597	357	
32	OK	49486.37	0	0	1	9.224	1.03	499	
33	OK	44388.54	0	0	1	9.33	1.381	152	
34	OK	47361.67	0	0	1	8.736	1.133	260	
35	OK	55270.15	0	0	1	8.539	0.9	10	
36	OK	55633.67	0	0	1	8.833	1.801	152	
37	OK	49252.01	0	0	1	8.962	1.17	426	
38	OK	48327.78	0	0	1	8.579	1.395	14	
39	OK	50446.55	0	0	1	8.976	0.548	320	
40	OK	49716.35	0	0	1	9.204	1.688	15	
