n	result	req_s	soft	hard	alive	note
1	OK	65002.88	0	0	1	
2	OK	63960.14	0	0	1	
3	OK	62792.35	0	0	1	
4	OK	65674.14	0	0	1	
5	OK	68308.36	0	0	1	
6	OK	68188.18	0	0	1	
7	OK	65378.37	0	0	1	
8	OK	67488.87	0	0	1	
9	OK	62477.64	0	0	1	
10	OK	65703.51	0	0	1	
11	OK	67690.15	0	0	1	
12	OK	67594.81	0	0	1	
13	OK	67968.27	0	0	1	
14	OK	66662.58	0	0	1	
15	OK	69634.92	0	0	1	
16	OK	66442.18	0	0	1	
17	OK	63141.33	0	0	1	
18	OK	66440.87	0	0	1	
19	OK	64875.07	0	0	1	
20	OK	64759.90	0	0	1	
21	OK	66343.22	0	0	1	
22	OK	66022.02	0	0	1	
23	OK	67520.14	0	0	1	
24	OK	65793.66	0	0	1	
25	OK	64031.62	0	0	1	
26	OK	65576.90	0	0	1	
27	OK	66827.77	0	0	1	
28	OK	65906.68	0	0	1	
29	OK	65177.87	0	0	1	
30	OK	65528.34	0	0	1	
31	OK	64800.21	0	0	1	
32	OK	57691.59	0	0	1	
33	OK	70033.21	0	0	1	
34	OK	67740.09	0	0	1	
35	OK	64087.22	0	0	1	
36	OK	70693.14	0	0	1	
37	OK	67187.98	0	0	1	
38	OK	68933.08	0	0	1	
39	OK	70164.72	0	0	1	
40	OK	71055.97	0	0	1	
