n	result	req_s	soft	hard	alive	note
1	OK	48809.61	0	0	1	
2	OK	44417.87	0	0	1	
3	OK	37651.79	0	0	1	
4	OK	50055.89	0	0	1	
5	OK	47059.57	0	0	1	
6	OK	46763.94	0	0	1	
7	OK	51034.75	0	0	1	
8	OK	52026.70	0	0	1	
9	OK	50456.21	0	0	1	
10	OK	51124.06	0	0	1	
11	OK	46921.19	0	0	1	
12	OK	34026.08	0	0	1	
13	OK	45483.41	0	0	1	
14	OK	37725.63	0	0	1	
15	OK	48918.22	0	0	1	
16	OK	50426.18	0	0	1	
17	OK	49691.93	0	0	1	
18	OK	48585.71	0	0	1	
19	OK	50129.95	0	0	1	
20	OK	50414.26	0	0	1	
21	OK	51536.42	0	0	1	
22	OK	47424.14	0	0	1	
23	OK	51916.12	0	0	1	
24	OK	50600.59	0	0	1	
25	OK	51179.88	0	0	1	
26	OK	51967.20	0	0	1	
27	OK	52104.16	0	0	1	
28	OK	49570.72	0	0	1	
29	OK	49581.88	0	0	1	
30	OK	50998.23	0	0	1	
31	OK	51684.48	0	0	1	
32	OK	51901.64	0	0	1	
33	OK	51027.93	0	0	1	
34	OK	52123.95	0	0	1	
35	OK	51300.47	0	0	1	
36	OK	50881.93	0	0	1	
37	OK	49565.06	0	0	1	
38	OK	51263.98	0	0	1	
39	OK	50602.02	0	0	1	
40	OK	51440.22	0	0	1	
