n	result	req_s	soft	hard	alive	pause_p50_ms	sweep_ms	hits	refills	collections	rss_kb
1	OK	45641.70	0	0	1	8.827	20.875	24620438	3509817	33	91928
2	OK	43443.89	0	0	1	8.826	20.226	23433089	3340930	31	91732
3	OK	46538.78	0	0	1	8.816	22.164	25107724	3579069	33	92004
4	OK	35334.43	0	0	1	9.540	27.136	19101775	2724623	25	91836
5	OK	37934.89	0	0	1	9.054	21.732	20472849	2919318	27	91676
6	OK	39456.60	0	0	1	8.988	20.699	21334817	3043306	28	92304
7	OK	45611.00	0	0	1	8.804	19.933	24603966	3506293	33	92188
8	OK	42055.34	0	0	1	8.926	35.772	22727733	3240799	30	91724
9	OK	36914.65	0	0	1	9.632	26.861	20038327	2858290	27	91972
10	OK	20833.38	0	0	1	14.336	24.262	11345741	1619706	15	91416
11	OK	27682.92	0	0	1	11.050	28.929	15053100	2148261	20	91872
12	OK	31577.77	0	0	1	11.760	15.923	17070213	2435244	23	91612
13	OK	29809.60	0	0	1	11.538	21.203	16152384	2304930	21	91780
14	OK	29669.74	0	0	1	10.150	14.600	16034078	2288311	21	91676
15	OK	25026.35	0	0	1	12.160	11.333	13540439	1932501	18	91752
16	OK	38443.68	0	0	1	9.003	21.468	20776073	2962754	28	91796
17	OK	44943.20	0	0	1	8.631	20.874	24240153	3455475	32	91932
18	OK	43841.55	0	0	1	8.811	21.766	23690049	3378208	31	91784
19	OK	43132.29	0	0	1	9.013	21.489	23275970	3317862	31	92240
20	OK	44679.95	0	0	1	9.191	24.156	24112733	3438856	32	92180
21	OK	37841.93	0	0	1	9.770	16.105	20467189	2919504	27	91496
22	OK	37525.72	0	0	1	9.417	10.859	20268940	2891505	27	91916
23	OK	44038.50	0	0	1	9.468	24.102	23769124	3389748	32	91580
24	OK	43762.49	0	0	1	9.387	21.305	23634959	3370376	31	92408
25	OK	40392.48	0	0	1	9.692	21.455	21845813	3114647	29	91884
26	OK	44756.37	0	0	1	8.547	19.892	24161323	3445707	32	91712
27	OK	42578.84	0	0	1	9.964	22.641	23002008	3278896	31	92168
28	OK	39996.41	0	0	1	9.476	21.887	21600683	3081277	29	92212
29	OK	42276.57	0	0	1	9.074	22.137	22809141	3252051	30	91712
30	OK	44006.48	0	0	1	9.304	21.304	23735221	3383674	31	92520
31	OK	38366.05	0	0	1	9.364	23.126	20765109	2961938	28	91812
32	OK	45711.17	0	0	1	8.706	10.988	24726055	3524022	33	91704
33	OK	42318.41	0	0	1	9.384	25.427	23102650	3292337	31	92264
34	OK	43394.86	0	0	1	8.995	20.049	23419105	3339109	31	91880
35	OK	31941.44	0	0	1	10.544	28.678	17254095	2461916	23	92180
36	OK	30014.53	0	0	1	9.586	31.299	16258984	2319364	21	92104
37	OK	40651.78	0	0	1	9.254	18.291	21929580	3127250	29	91680
38	OK	39863.72	0	0	1	9.177	16.603	21513645	3067911	29	91568
39	OK	36141.38	0	0	1	11.215	20.436	19535388	2785917	26	97220
40	OK	38272.18	0	0	1	9.343	11.905	20691416	2951243	27	91956
