n	result	req_s	soft	hard	alive	pause_p50_ms	scrub_ms	scrub_bytes_total	collections	rss_kb
1	OK	61841.10	0	0	1	8.776	0.073	4930560	45	91848
2	OK	59253.98	0	0	1	8.734	0.063	4711424	43	91548
3	OK	59912.20	0	0	1	8.781	0.062	4711424	43	92200
4	OK	56146.87	0	0	1	8.761	0.063	4382720	40	91644
5	OK	54762.16	0	0	1	9.081	0.067	4273152	39	91672
6	OK	55488.77	0	0	1	9.015	0.065	4382720	40	92264
7	OK	59940.79	0	0	1	8.632	0.095	4711424	43	92064
8	OK	59615.07	0	0	1	8.640	0.077	4711424	43	91912
9	OK	51894.54	0	0	1	9.284	0.058	4054016	37	91600
10	OK	55822.65	0	0	1	9.023	0.082	4492288	41	91748
11	OK	53703.63	0	0	1	8.971	0.077	4273152	39	92512
12	OK	53866.11	0	0	1	9.465	0.065	4273152	39	91852
13	OK	54629.01	0	0	1	9.130	0.072	4273152	39	91988
14	OK	52641.70	0	0	1	9.098	0.075	4163584	38	91916
15	OK	53236.56	0	0	1	9.009	0.068	4163584	38	91756
16	OK	55462.88	0	0	1	9.001	0.084	4382720	40	92232
17	OK	56707.40	0	0	1	8.872	0.088	4492288	41	91636
18	OK	56111.18	0	0	1	9.019	0.070	4382720	40	91968
19	OK	55180.27	0	0	1	9.262	0.066	4382720	40	91744
20	OK	57948.57	0	0	1	8.977	0.080	4601856	42	91812
21	OK	55771.14	0	0	1	9.265	0.076	4382720	40	91560
22	OK	55321.27	0	0	1	9.148	0.097	4382720	40	92132
23	OK	56564.31	0	0	1	8.781	0.065	4492288	41	91732
24	OK	53906.56	0	0	1	8.795	0.066	4273152	39	91776
25	OK	60757.78	0	0	1	8.829	0.081	4820992	44	91732
26	OK	60090.14	0	0	1	8.913	0.081	4711424	43	92160
27	OK	58217.01	0	0	1	8.877	0.074	4601856	42	91428
28	OK	46208.89	0	0	1	9.478	0.086	3615744	33	91884
29	OK	50482.91	0	0	1	9.724	0.105	3944448	36	92200
30	OK	51663.76	0	0	1	9.013	0.067	4054016	37	91992
31	OK	39061.18	0	0	1	9.907	0.083	3067904	28	91648
32	OK	43817.06	0	0	1	10.115	0.060	3396608	31	91768
33	OK	48752.32	0	0	1	9.288	0.086	3834880	35	91536
34	OK	46806.40	0	0	1	9.638	0.063	3725312	34	91820
35	OK	38195.82	0	0	1	11.904	0.071	2958336	27	91608
36	OK	43294.40	0	0	1	9.576	0.105	3396608	31	91948
37	OK	56313.56	0	0	1	9.046	0.127	4382720	40	91788
38	OK	59854.88	0	0	1	8.647	0.083	4711424	43	91852
39	OK	51666.25	0	0	1	8.870	0.161	4054016	37	91636
40	OK	49512.60	0	0	1	9.462	0.077	3944448	36	92240
