n	result	req_s	soft	hard	alive	pause_p50_ms	sweep_ms	collections	rss_kb	note
1	OK	56570.21	0	0	1	9.433	27.095	25	142576	
2	OK	61481.55	0	0	1	8.853	25.757	27	142176	
3	OK	57003.54	0	0	1	9.249	17.943	25	141992	
4	OK	55679.82	0	0	1	9.687	31.556	25	141708	
5	OK	57284.68	0	0	1	9.470	27.056	25	141332	
6	OK	60397.52	0	0	1	8.731	28.852	27	140292	
7	OK	58161.92	0	0	1	9.113	26.138	26	140844	
8	OK	62394.12	0	0	1	8.683	28.374	28	141552	
9	OK	62661.64	0	0	1	9.017	27.436	28	142136	
10	OK	58573.60	0	0	1	8.904	27.364	26	141836	
11	OK	58245.22	0	0	1	8.869	25.428	26	141872	
12	OK	59725.65	0	0	1	9.060	25.442	27	141736	
13	OK	60289.99	0	0	1	8.971	27.840	27	140264	
14	OK	62230.59	0	0	1	8.420	26.643	27	142040	
15	OK	59839.05	0	0	1	8.777	21.107	27	142132	
16	OK	56102.44	0	0	1	8.812	26.394	25	141156	
17	OK	57326.06	0	0	1	9.042	25.221	26	140336	
18	OK	59945.85	0	0	1	9.007	26.288	26	142364	
19	OK	61870.92	0	0	1	9.301	19.504	27	142376	
20	OK	61724.50	0	0	1	8.615	19.184	27	142252	
21	OK	60905.44	0	0	1	8.536	27.411	27	141756	
22	OK	60326.80	0	0	1	8.495	29.162	27	142144	
23	OK	57301.49	0	0	1	9.366	28.251	25	141304	
24	OK	63957.67	0	0	1	9.076	25.656	28	140740	
25	OK	63521.04	0	0	1	8.522	26.374	29	142140	
26	OK	63589.15	0	0	1	8.979	27.169	28	141616	
27	OK	57897.50	0	0	1	8.731	17.275	26	142012	
28	OK	57512.51	0	0	1	8.891	26.645	26	141292	
29	OK	61816.26	0	0	1	9.097	25.804	28	140448	
30	OK	60761.41	0	0	1	8.829	28.324	27	141764	
31	OK	60739.37	0	0	1	8.954	28.541	27	141672	
32	OK	63211.62	0	0	1	8.741	28.562	28	141360	
33	OK	63120.36	0	0	1	8.841	25.976	28	140776	
34	OK	59021.14	0	0	1	9.317	26.124	26	141344	
35	OK	50243.81	0	0	1	9.766	28.957	23	140200	
36	OK	60079.98	0	0	1	9.012	27.203	27	141256	
37	OK	63895.17	0	0	1	8.728	26.839	28	141936	
38	OK	57774.01	0	0	1	8.845	28.182	26	142500	
39	OK	61092.57	0	0	1	8.554	28.360	27	141936	
40	OK	60987.50	0	0	1	8.965	25.819	27	141840	
