knob	trial	rps	rss_kib	live_bytes	precise	conservative	entries	ge75	large_free	free_chunks
boehm	1	255.22	35532	0	0	0	0	0	0	0
control	1	265.29	353768	487833600	636	20466	51	4905	393216	15728640
disable_layout	1	262.59	319492	489636048	0	18013	0	4933	495616	21495808
auto_layouts	1	254.50	340444	465692848	11117	12415	483	4693	409600	17301504
control	2	225.16	250896	303573120	815	16571	51	3035	757760	16908288
disable_layout	2	266.89	334956	476776112	0	16371	0	4811	843776	25821184
auto_layouts	2	270.68	335596	489269920	10978	12434	483	4931	409600	15597568
control	3	252.06	306752	400930512	814	18401	51	4019	933888	15073280
disable_layout	3	245.68	296404	383678480	0	14957	0	3865	1470464	25427968
auto_layouts	3	266.39	333816	463111488	7299	8437	483	4678	1957888	24379392
