n	result	req_s	soft	hard	alive	note
1	OK	107934.67	0	0	1	
2	OK	106544.36	0	0	1	
3	OK	106535.98	0	0	1	
4	OK	109040.48	0	0	1	
5	OK	107724.26	0	0	1	
6	OK	106995.18	0	0	1	
7	OK	107651.49	0	0	1	
8	OK	108084.81	0	0	1	
9	OK	107186.96	0	0	1	
10	OK	107710.76	0	0	1	
11	OK	107710.67	0	0	1	
12	OK	108655.79	0	0	1	
13	OK	108015.50	0	0	1	
14	OK	107205.51	0	0	1	
15	OK	106503.20	0	0	1	
16	OK	108028.40	0	0	1	
17	OK	107643.52	0	0	1	
18	OK	107704.31	0	0	1	
19	OK	106945.13	0	0	1	
20	OK	106858.39	0	0	1	
21	OK	108543.25	0	0	1	
22	OK	109057.08	0	0	1	
23	OK	104797.16	0	0	1	
24	OK	107513.71	0	0	1	
25	OK	107841.48	0	0	1	
26	OK	107656.64	0	0	1	
27	OK	107532.29	0	0	1	
28	OK	105253.58	0	0	1	
29	OK	107674.00	0	0	1	
30	OK	108374.25	0	0	1	
31	OK	108023.81	0	0	1	
32	OK	107043.71	0	0	1	
33	OK	107698.09	0	0	1	
34	OK	108524.65	0	0	1	
35	OK	107679.20	0	0	1	
36	OK	107273.82	0	0	1	
37	OK	108150.69	0	0	1	
38	OK	106359.42	0	0	1	
39	OK	107536.95	0	0	1	
40	OK	106620.10	0	0	1	
