n	result	req_s	soft	hard	alive	note
1	OK	52665.09	0	0	1	
2	OK	53675.37	0	0	1	
3	OK	54319.07	0	0	1	
4	OK	53887.01	0	0	1	
5	OK	53533.91	0	0	1	
6	OK	53186.83	0	0	1	
7	OK	52341.51	0	0	1	
8	OK	52642.55	0	0	1	
9	OK	53077.65	0	0	1	
10	OK	52114.32	0	0	1	
11	OK	51797.23	0	0	1	
12	OK	51132.48	0	0	1	
13	OK	51356.19	0	0	1	
14	OK	50507.39	0	0	1	
15	OK	52353.00	0	0	1	
16	OK	53056.99	0	0	1	
17	OK	51629.48	0	0	1	
18	OK	50610.85	0	0	1	
19	OK	50057.16	0	0	1	
20	OK	50375.27	0	0	1	
21	OK	51457.95	0	0	1	
22	OK	52861.55	0	0	1	
23	OK	52699.14	0	0	1	
24	OK	53275.56	0	0	1	
25	OK	53571.60	0	0	1	
26	OK	52867.41	0	0	1	
27	OK	53038.73	0	0	1	
28	OK	52986.03	0	0	1	
29	OK	52760.14	0	0	1	
30	OK	52806.46	0	0	1	
31	OK	52832.33	0	0	1	
32	OK	51622.94	0	0	1	
33	OK	50051.18	0	0	1	
34	OK	51557.58	0	0	1	
35	OK	53352.38	0	0	1	
36	OK	52791.67	0	0	1	
37	OK	52477.55	0	0	1	
38	OK	52638.72	0	0	1	
39	OK	53202.62	0	0	1	
40	OK	53730.20	0	0	1	
