samples=5000 attach_fail=0
  lib:libc.so.6   63.6%
  app             26.8%
  gc               9.5%
  lib:?            0.1%
top symbols:
   46.4%  libc.so.6: sem_trywait@GLIBC_2.2.5
   13.1%  libc.so.6: __xstat64@@GLIBC_2.2.5
    3.2%  branch-hl: *JSON::Builder::Escape#write<Slice(UInt8)>:Nil
    3.1%  libc.so.6: _dl_mcount_wrapper@GLIBC_2.2.5
    2.6%  branch-hl: *JSON::Builder#start_scalar<Bool>:Nil
    2.5%  branch-hl: *JSON::Builder#end_scalar<Bool>:(JSON::Builder::ArrayState | JSON::Builder::DocumentEndState | JSON::Builder::
    2.5%  branch-hl: *Char#to_s<IO+>:Nil
    1.8%  branch-hl: *Gcry::Heap#alloc_old_small_locked<UInt32, UInt32, Int32>:Pointer(Void)
    1.7%  branch-hl: *String::Builder#write_byte<UInt8>:Nil
    1.7%  branch-hl: *GC::realloc<Pointer(Void), UInt64>:Pointer(Void)
    1.4%  branch-hl: *Gcry::Heap#malloc<UInt64>:Pointer(Void)
    1.2%  branch-hl: *String::Builder#increase_capacity_by<Int32>:(Pointer(UInt8) | Nil)
    1.2%  branch-hl: *Gcry::Heap#allocate<UInt64, Bool, Bool>:Pointer(Void)
    1.1%  branch-hl: *Gcry::Heap#chunk_search_unlocked<UInt64>:(Pointer(Gcry::ChunkHeader) | Nil)
    1.0%  branch-hl: *Gcry::Heap#malloc_atomic<UInt64>:Pointer(Void)
    0.9%  branch-hl: *Gcry::Heap#chunk_containing<UInt64>:(Pointer(Gcry::ChunkHeader) | Nil)
    0.8%  branch-hl: *JSON::Builder#end_object:Nil
    0.6%  branch-hl: *JSON::Builder#string<String>:Nil
    0.6%  branch-hl: *Int32@Int#to_s<String::Builder>:Nil
    0.5%  branch-hl: *Socket+@IO::Buffered#write<Slice(UInt8)>:Nil
    0.5%  branch-hl: *Gcry::Heap#mark_impl_unlocked<Pointer(Void), Bool, Bool, Gcry::Heap::RootSource>:Nil
    0.4%  branch-hl: *Time#year_month_day_day_year:Tuple(Int32, Int32, Int32, Int32)
    0.4%  branch-hl: *IO+@IO#write_string<Slice(UInt8)>:Nil
    0.4%  branch-hl: *Crystal::EventLoop::Polling+@Crystal::EventLoop::Polling#run<Pointer(Fiber::List), Bool>:Nil
    0.4%  branch-hl: *HTTP::Server::Response#write_headers:Bool
    0.4%  branch-hl: *Hash(HTTP::Headers::Key, Array(String) | String)@Hash(K, V)#find_entry<HTTP::Headers::Key>:(Hash::Entry(HTTP:
    0.3%  libc.so.6: __read_nocancel@@GLIBC_PRIVATE
    0.3%  branch-hl: *Hash(HTTP::Headers::Key, Array(String) | String)@Hash(K, V)#key_hash<HTTP::Headers::Key>:UInt32
