gcry soak telemetry
start=Time::Instant(@seconds=706203, @nanoseconds=964417020) duration=840s start_rss=6756kB
config: monitor_gate=true stw_test_stall_ms=0 ec_queue_audit=false fiber_churn=512 collect_hz=1
hour	elapsed	heap_kb	free_kb	live_objects	collections	pause_p50	pause_p99	rss_kb	finalized	queue_slots_total	queue_slots_max	queue_slots_hits	queue_faults
0.001388888888888889	5	68984.0	63279.203125	14297	9	5267765	7066359	85848	478	0	0	0	0
0.002777777777777778	10	63992.0	0.0	326340	18	4278931	12028208	83844	871	0	0	0	0
0.004166666666666667	15	52856.0	0.0	266535	26	5267765	12028208	73516	1349	0	0	0	0
0.005555555555555556	20	59640.0	0.0	302591	33	5347737	18655246	80752	1822	0	0	0	0
0.006944444444444444	25	57592.0	0.0	291618	43	5267765	18655246	77984	2309	0	0	0	0
0.008333333333333333	30	59896.0	0.0	304037	53	4651523	18655246	77020	2794	0	0	0	0
0.009722222222222222	35	48376.0	0.0	242140	63	4651523	18655246	64736	3284	0	0	0	0
0.011111111111111112	40	46968.0	0.0	234875	73	4278931	18655246	64040	3771	0	0	0	0
0.0125	45	46968.0	0.0	234729	83	4918938	18655246	65516	4255	0	0	0	0
0.013888888888888888	50	39416.0	0.0	194524	93	4651523	11544945	56616	4737	0	0	0	0
0.015277777777777777	55	34680.0	0.0	168836	103	4918938	13211177	52952	5221	0	0	0	0
0.016666666666666666	60	32504.0	0.0	156906	112	5453114	17269501	53240	5701	0	0	0	0
# gate elapsed=60s collections=112 monitor_blocks=54 stw_waits=0 stw_wait_max_ns=0
0.018055555555555554	65	30968.0	0.0	149072	122	5579363	17269501	47328	6189	0	0	0	0
0.019444444444444445	70	25336.0	0.0	118741	132	5453114	17269501	42068	6679	0	0	0	0
0.020833333333333332	75	22008.0	0.0	100918	142	4943514	17269501	37564	7167	0	0	0	0
0.022222222222222223	80	19704.0	0.0	88287	152	4700505	17269501	36864	7656	0	0	0	0
0.02361111111111111	85	15096.0	0.0	63547	162	3216386	17269501	31256	8145	0	0	0	0
0.025	90	10872.0	0.0	41381	172	3174898	17269501	25852	8633	0	0	0	0
0.02638888888888889	95	7672.0	0.0	24355	182	2727935	10893575	23668	9119	0	0	0	0
0.027777777777777776	100	5368.0	0.0	11962	192	2475739	10893575	23260	9606	0	0	0	0
0.029166666666666667	105	69240.0	62790.671875	17930	201	2475739	11215672	86272	10085	0	0	0	0
0.030555555555555555	110	69112.0	62625.328125	17799	208	2727935	37156164	90464	10551	0	0	0	0
0.03194444444444444	115	68984.0	61305.421875	24392	218	2727935	37156164	86192	11033	0	0	0	0
0.03333333333333333	120	62584.0	0.0	318423	227	2727935	37156164	79828	11448	0	0	0	0
# gate elapsed=120s collections=227 monitor_blocks=97 stw_waits=0 stw_wait_max_ns=0
0.034722222222222224	125	61176.0	0.0	311126	237	2817313	37156164	78284	11938	0	0	0	0
0.03611111111111111	130	56568.0	0.0	285959	245	4714090	37156164	77508	12416	0	0	0	0
0.0375	135	58616.0	0.0	296801	255	2918353	37156164	77740	12903	0	0	0	0
0.03888888888888889	140	50424.0	0.0	253377	265	2788629	37156164	66492	13392	0	0	0	0
0.04027777777777778	145	48376.0	0.0	242530	275	2518019	11709663	64780	13881	0	0	0	0
0.041666666666666664	150	47608.0	0.0	237763	284	2788629	11709663	67460	14365	0	0	0	0
0.043055555555555555	155	39672.0	0.0	195377	294	2309816	11709663	57460	14847	0	0	0	0
0.044444444444444446	160	39416.0	0.0	194510	304	2309816	11709663	57412	15336	0	0	0	0
0.04583333333333333	165	33656.0	0.0	163116	314	2968037	7697756	50972	15822	0	0	0	0
0.04722222222222222	170	30200.0	0.0	144561	324	3028762	7697756	45452	16312	0	0	0	0
0.04861111111111111	175	29560.0	0.0	141114	334	2572511	7697756	45436	16801	0	0	0	0
0.05	180	23800.0	0.0	110233	344	2330244	8099294	44504	17291	0	0	0	0
# gate elapsed=180s collections=344 monitor_blocks=141 stw_waits=0 stw_wait_max_ns=0
0.05138888888888889	185	19192.0	0.0	85782	354	2572511	8099294	36396	17778	0	0	0	0
0.05277777777777778	190	17400.0	0.0	76445	364	2968037	8099294	34776	18264	0	0	0	0
0.05416666666666667	195	14200.0	0.0	59395	373	2428410	8099294	31984	18750	0	0	0	0
0.05555555555555555	200	8184.0	0.0	27119	383	4649708	9729337	25368	19236	0	0	0	0
0.05694444444444444	205	6392.0	0.0	17214	393	3345349	9729337	23708	19724	0	0	0	0
0.058333333333333334	210	68984.0	47477.296875	98110	402	3345349	9729337	84368	20192	0	0	0	0
0.059722222222222225	215	69112.0	56848.03125	48720	412	3631528	9729337	85580	20686	0	0	0	0
0.06111111111111111	220	69112.0	61471.234375	23979	422	2541071	9729337	86428	21177	0	0	0	0
0.0625	225	63864.0	0.0	325784	431	2541071	9729337	81604	21583	0	0	0	0
0.06388888888888888	230	62200.0	0.0	316427	440	2712886	10976358	82792	22066	0	0	0	0
0.06527777777777778	235	60408.0	0.0	306550	450	2541071	10976358	77060	22556	0	0	0	0
0.06666666666666667	240	58872.0	0.0	298240	460	2541071	10976358	74844	23043	0	0	0	0
# gate elapsed=240s collections=460 monitor_blocks=188 stw_waits=0 stw_wait_max_ns=0
0.06805555555555555	245	59896.0	0.0	303738	470	2582540	10976358	77072	23532	0	0	0	0
0.06944444444444445	250	50168.0	0.0	252165	480	2130287	10976358	67224	24022	0	0	0	0
0.07083333333333333	255	44536.0	0.0	221564	490	2130287	10976358	61868	24510	0	0	0	0
0.07222222222222222	260	46456.0	0.0	231683	500	2113165	8568077	63844	24998	0	0	0	0
0.07361111111111111	265	42232.0	0.0	209501	510	2108846	9217651	59632	25485	0	0	0	0
0.075	270	34424.0	0.0	167878	520	2060686	9217651	51896	25976	0	0	0	0
0.0763888888888889	275	34936.0	0.0	170072	530	2131229	11565027	52172	26462	0	0	0	0
0.07777777777777778	280	28920.0	0.0	137858	540	2781324	11832331	48256	26945	0	0	0	0
0.07916666666666666	285	26616.0	0.0	125459	550	3257943	11832331	42720	27433	0	0	0	0
0.08055555555555556	290	21240.0	0.0	96626	560	3257943	11832331	38568	27922	0	0	0	0
0.08194444444444444	295	19448.0	0.0	87490	570	3878503	12163325	36896	28407	0	0	0	0
0.08333333333333333	300	13688.0	0.0	56313	579	4598200	13712977	34468	28888	0	0	0	0
# gate elapsed=300s collections=579 monitor_blocks=229 stw_waits=1 stw_wait_max_ns=1616498
0.08472222222222223	305	8568.0	0.0	28973	589	4598200	13712977	26208	29377	0	0	0	0
0.08611111111111111	310	5240.0	0.0	10948	597	4880944	13712977	23436	29860	0	0	0	0
0.0875	315	66040.0	0.0	337429	604	4921961	13712977	87388	30243	0	0	0	0
0.08888888888888889	320	66808.0	0.0	340992	613	5141104	13712977	83848	30729	0	0	0	0
0.09027777777777778	325	69112.0	63588.0	12652	624	4852250	13712977	86492	31299	0	0	0	0
0.09166666666666666	330	68216.0	0.0	348928	633	3827787	13712977	85692	31705	0	0	0	0
0.09305555555555556	335	64504.0	0.0	328433	643	4006935	13360562	80872	32193	0	0	0	0
0.09444444444444444	340	61944.0	0.0	314744	653	3235170	13360562	79304	32681	0	0	0	0
0.09583333333333334	345	58232.0	0.0	294952	661	2187555	13360562	78860	33164	0	0	0	0
0.09722222222222222	350	43256.0	0.0	215181	671	2153781	12993260	64052	33651	0	0	0	0
