variant	trial	rps	rss_kib	marked	records	non2xx
boehm	1	1035.55	63856	0	0	0
base	1	920.36	47120	0	0	0
hybrid	1	869.11	47952	210	152511	0
exclusive	1	887.27	61088	225	305663	0
exclusivef	1	874.08	78208	225	305663	0
boehm	2	998.85	57568	0	0	0
base	2	902.75	34912	0	0	0
hybrid	2	875.62	52336	210	152511	0
exclusive	2	862.91	73376	225	305663	0
exclusivef	2	848.95	67040	225	305663	0
boehm	3	1004.03	55344	0	0	0
base	3	874.16	36480	0	0	0
hybrid	3	622.78	49472	210	152511	0
exclusive	3	566.72	75392	225	305663	0
exclusivef	3	570.88	61936	224	305663	0
