variant	trial	rps	rss_kib	marked	records	non2xx
boehm	1	863.24	36336	0	0	0
base	1	829.56	47440	0	0	0
boehm	2	886.43	48752	0	0	0
base	2	254.40	36912	0	0	0
boehm	3	1008.76	36528	0	0	0
base	3	930.28	37616	0	0	0
boehm	4	946.02	39024	0	0	0
base	4	926.69	35200	0	0	0
boehm	5	945.26	37056	0	0	0
base	5	927.47	35792	0	0	0
boehm	6	926.00	37392	0	0	0
base	6	897.42	36160	0	0	0
boehm	7	930.35	39728	0	0	0
base	7	926.32	36272	0	0	0
boehm	8	949.49	36960	0	0	0
base	8	930.85	36688	0	0	0
boehm	9	946.12	46288	0	0	0
base	9	930.98	35440	0	0	0
